Place,Type,Location,Best Season,Activities,Description,Rating
Manali,Adventure,Himachal Pradesh,Winter,"Trekking, Skiing",A popular hill station known for snow sports and scenic views.,4.7
Rishikesh,Pilgrimage,Uttarakhand,Spring,"River Rafting, Meditation","Known as the Yoga Capital of the World, also famous for adventure sports.",3.8
Jaipur,History,Rajasthan,Winter,"Fort Tours, Museums",The Pink City offers a glimpse into India’s rich royal heritage., 4.2
Goa,Relaxation,Goa,Winter,"Beach Parties, Water Sports","A coastal destination famous for beaches, nightlife, and Portuguese heritage.", 2.5
Kaziranga National Park,Nature,Assam,Winter,"Wildlife Safari, Bird Watching",Home to the one-horned rhinoceros and diverse wildlife., 4.2
Shimla,Nature,Uttarakhand,Winter,"Boating, Hiking","A serene spot surrounded by nature, ideal for Boating, Hiking.", 4.5
Varanasi,Adventure,Gujarat,Spring,"Skiing, Rafting","A thrilling destination offering Skiing, Rafting.", 3.9
Mysore,History,Kerala,Summer,"Fort Tours, Heritage Walks","Famous for its historical landmarks and Fort Tours, Heritage Walks.", 3.7
Udaipur,Relaxation,Karnataka,Winter,"Yoga, Beach Parties","Known for its tranquil atmosphere and Yoga, Beach Parties.", 4.5
Pondicherry,History,Sikkim,Winter,"Fort Tours, Museum Visits","Famous for its historical landmarks and Fort Tours, Museum Visits.", 4.2
Darjeeling,Relaxation,Karnataka,Summer,"Resort Stays, Beach Parties","Known for its tranquil atmosphere and Resort Stays, Beach Parties.", 4.5
Leh,Nature,Rajasthan,Monsoon,"Wildlife Safari, Hiking","A serene spot surrounded by nature, ideal for Wildlife Safari, Hiking.", 4.5
Ooty,Adventure,Maharashtra,Spring,"Camping, Trekking","A thrilling destination offering Camping, Trekking.", 5.0
Agra,Adventure,Maharashtra,Winter,"Trekking, Camping","A thrilling destination offering Trekking, Camping.", 4.7
Khajuraho,Pilgrimage,Assam,Summer,"Meditation, Pilgrim Walks","A sacred place attracting pilgrims for Meditation, Pilgrim Walks.", 4.2
Ranthambore,Relaxation,Tamil Nadu,Spring,"Yoga, Spa","Known for its tranquil atmosphere and Yoga, Spa.", 4.5
Munnar,Pilgrimage,Himachal Pradesh,Monsoon,"Religious Rituals, Pilgrim Walks","A sacred place attracting pilgrims for Religious Rituals, Pilgrim Walks.", 3.7
Hampi,Nature,Assam,Autumn,"Boating, Wildlife Safari","A serene spot surrounded by nature, ideal for Boating, Wildlife Safari.", 5.0
Jaisalmer,Adventure,Assam,Spring,"Camping, Trekking","A thrilling destination offering Camping, Trekking.", 3.9
Rann of Kutch,Pilgrimage,Gujarat,Monsoon,"Meditation, Temple Visits","A sacred place attracting pilgrims for Meditation, Temple Visits.", 4.2
Ellora Caves,Relaxation,Kerala,Autumn,"Yoga, Resort Stays","Known for its tranquil atmosphere and Yoga, Resort Stays.", 4.5
Alleppey,Nature,Gujarat,Spring,"Wildlife Safari, Hiking","A serene spot surrounded by nature, ideal for Wildlife Safari, Hiking.", 4.4
Coorg,History,Uttarakhand,Autumn,"Monument Visits, Fort Tours","Famous for its historical landmarks and Monument Visits, Fort Tours.", 4.2
Mahabalipuram,History,Assam,Monsoon,"Fort Tours, Monument Visits","Famous for its historical landmarks and Fort Tours, Monument Visits.", 3.8
Andaman Islands,Relaxation,Goa,Summer,"Beach Parties, Resort Stays","Known for its tranquil atmosphere and Beach Parties, Resort Stays.", 4.5
